Driver ID,Rid,Ts,Lat,Lon,Speed
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:30.162,22.5837536,88.4230928,4.163944244384766
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:30.162,22.5837536,88.4230928,4.163944244384766
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:27.288,22.5850186,88.4222621,2.251124858856201
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:22.296,22.585096,88.4221166,6.757656097412109
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:17.337,22.5851201,88.4225211,3.910250425338745
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:17.337,22.5851201,88.4225211,3.910250425338745
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:12.213,22.5851921,88.4223047,2.614682912826538
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:12.213,22.5851921,88.4223047,2.614682912826538
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:12.213,22.5851921,88.4223047,2.614682912826538
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:12.213,22.5851921,88.4223047,2.614682912826538
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:07.292,22.5852459,88.422062,9.646233558654783
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:07.292,22.5852459,88.422062,9.646233558654783
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:07.292,22.5852459,88.422062,9.646233558654783
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:02.196,22.5848607,88.4223287,5.675771236419678
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:02.196,22.5848607,88.4223287,5.675771236419678
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:02.196,22.5848607,88.4223287,5.675771236419678
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:28:02.196,22.5848607,88.4223287,5.675771236419678
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:27:55.918,22.5846958,88.4226065,9.234612464904783
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:27:55.918,22.5846958,88.4226065,9.234612464904783
d6684339-5b40-4d2d-b222-a78163b4d0af,697eaa42-3157-420b-801b-cc91acaa0ebf,2025-05-09T12:27:55.918,22.5846958,88.4226065,9.234612464904783
